seqnames	start	end	width	strand	TSS	ATAC	Intragenic	Bidir	name	DS	S24	S72	L6	L26	L57	MaxActivity
1	565251	567629	2379	*	TSS1_565852,TSS1_566340	ATAC1_565501	TRUE	TRUE	ENH1_566440	10.641680000000001	17.15086	7.478070000000001	10.619611	31.42478	10.620184	L26
1	652143	652955	813	*	TSS1_652923	ATAC1_652686	FALSE	FALSE	ENH1_652549	0	3.6530300000000002	11.796308	1.2389568	4.170281	4.187359	S72
1	788939	789438	500	*	TSS1_789101	ATAC1_789236	FALSE	FALSE	ENH1_789189	0	10.164337999999999	22.09756	10.617494	4.93909	0.306513	S72
1	865083	865582	500	*	TSS1_865250	ATAC1_865282	FALSE	FALSE	ENH1_865333	0	2.3821	3.822908	0.619478	0.657031	0.511184	S72
1	952600	953302	703	*	TSS1_952735	ATAC1_953041	FALSE	FALSE	ENH1_952951	8.96074	6.03307	2.65892	5.132809999999999	1.1314030000000002	0.204671	DS
1	975389	975888	500	*	TSS1_975853	ATAC1_975737	FALSE	FALSE	ENH1_975639	0	0.952427	2.32684	0.7964708	0.893308	0.203683	S72
1	1028213	1028712	500	*	TSS1_1028313,TSS1_1028535	ATAC1_1028540	TRUE	TRUE	ENH1_1028463	3.36186	7.144236	2.82553	12.829884	21.971040000000002	22.262753999999997	L57
1	1043077	1043582	506	*	TSS1_1043142,TSS1_1043417	ATAC1_1043404	TRUE	TRUE	ENH1_1043330	0	0.158738	0.498689	3.0088868	6.606659	3.5753209999999997	L26
1	1470010	1470770	761	*	TSS1_1470366,TSS1_1470591	ATAC1_1470616	FALSE	FALSE	ENH1_1470390	1.120093	2.85831	3.1553440000000004	0.0884968	0.357141	3.26585	L57
1	1545720	1546695	976	*	TSS1_1545895,TSS1_1546212	ATAC1_1546274	TRUE	TRUE	ENH1_1546208	0.279628	4.764191	2.82326	0.176994	1.012355	0.408354	S24
1	1549539	1550038	500	*	TSS1_1549789	NA	FALSE	FALSE	ENH1_1549788	0	0	0.166608	0.176994	0.7751699999999999	2.042759	L57
1	1874321	1874820	500	*	TSS1_1874571	NA	FALSE	FALSE	ENH1_1874570	1.12009	0	0.498689	0.0884968	0.357141	0.7148669999999999	DS
1	1880709	1881324	616	*	TSS1_1880812,TSS1_1881297	ATAC1_1880854	FALSE	TRUE	ENH1_1881016	0	0	0	0.26549	0.714283	1.223086	L57
1	1941099	1941598	500	*	TSS1_1941323,TSS1_1941384	NA	FALSE	TRUE	ENH1_1941348	0	0.317476	0.332082	4.51333	9.46833	1.939931	L26
1	1977153	1977652	500	*	TSS1_1977486	ATAC1_1977431	FALSE	FALSE	ENH1_1977402	0.279628	0.476213	0	0.973465	0.23809419999999998	0	L6
1	1998651	1999490	840	*	TSS1_1998651,TSS1_1998959	ATAC1_1999266	FALSE	FALSE	ENH1_1999070	2.521396	2.857278	2.65779	1.50445	0.953286	0.203683	S24
1	2123661	2124419	759	*	TSS1_2123876,TSS1_2124123	ATAC1_2124005	FALSE	TRUE	ENH1_2124040	0	8.25643	6.97711	18.05123	23.28506	7.04584	L26
1	2224259	2225307	1049	*	TSS1_2224501,TSS1_2224725	ATAC1_2224632	TRUE	TRUE	ENH1_2224783	24.649965	50.505413000000004	45.351208	7.609654	6.5485	12.76183	S24
1	2300244	2300743	500	*	TSS1_2300494	NA	FALSE	FALSE	ENH1_2300494	0	0	0	0	0.119047	8.376704	L57
1	2340733	2341232	500	*	TSS1_2340911	ATAC1_2341011	FALSE	FALSE	ENH1_2340982	0	16.675713000000002	5.3167089999999995	3.0973868	2.44183	2.451113	S24
1	2476386	2476885	500	*	TSS1_2476636	NA	FALSE	FALSE	ENH1_2476636	1.680926	6.987550000000001	8.80753	2.477907	0.775169	0.101841	S72
1	2572762	2573612	851	*	TSS1_2573167,TSS1_2573581	ATAC1_2572943	TRUE	TRUE	ENH1_2573187	1.677768	20.327759999999998	3.819508	3.805364	3.93128	0.6120369999999999	S24
1	2673654	2674153	500	*	TSS1_2673832,TSS1_2673980	ATAC1_2672392	TRUE	TRUE	ENH1_2673904	0	0.158738	0	0.176994	2.6772	23.48979	L57
1	2842067	2842804	738	*	TSS1_2842332	ATAC1_2842449	FALSE	FALSE	ENH1_2842436	0	0.158738	0.165474	0.884968	5.1817269999999995	1.52861	L26
1	2915810	2916309	500	*	TSS1_2916060	NA	FALSE	FALSE	ENH1_2916060	0	0.158738	0.332082	0.0884968	0.298072	0.203683	S72
1	3133365	3133864	500	*	TSS1_3133478,TSS1_3133811	NA	FALSE	TRUE	ENH1_3133615	24.3719	1.7461159999999998	1.16285	1.0619619999999999	0.118138	0	DS
1	3264313	3264852	540	*	TSS1_3264517,TSS1_3264738	ATAC1_3264766	TRUE	TRUE	ENH1_3264582	0.279628	9.526328	6.145207	6.19478	6.488530000000001	1.122233	S24
1	3324322	3324821	500	*	TSS1_3324597	ATAC1_3324621	FALSE	FALSE	ENH1_3324572	0	1.7461159999999998	7.14259	0	1.8456869999999999	0.814731	S72
1	3423610	3424109	500	*	TSS1_3423895	ATAC1_3423850	FALSE	FALSE	ENH1_3423860	0	0	0.997378	0.530981	0	0	S72
1	3444602	3445101	500	*	TSS1_3444852	NA	FALSE	FALSE	ENH1_3444852	0	0.317476	0.332082	0.530981	0.419846	1.839074	L57
1	3522233	3522732	500	*	TSS1_3522483	NA	FALSE	FALSE	ENH1_3522482	0	0.158738	0.664163	1.06196	0.952377	1.12322	L57
1	3719182	3719992	811	*	TSS1_3719446	ATAC1_3719547	FALSE	FALSE	ENH1_3719587	0	1.58738	0.166608	1.946927	1.725734	0.713878	L6
1	3744321	3744951	631	*	TSS1_3744446,TSS1_3744889	ATAC1_3744457	TRUE	TRUE	ENH1_3744636	152.954	99.1111	56.4913	14.687294000000001	13.58408	6.639463	DS
1	3764214	3765035	822	*	TSS1_3764967	ATAC1_3764632	FALSE	FALSE	ENH1_3764624	0	1.587378	0	0.6194778000000001	1.013263	1.532564	S24
1	3771912	3772411	500	*	TSS1_3772162	NA	FALSE	FALSE	ENH1_3772162	0	1.58841	1.82815	0.26549	0.894217	2.4521	L57
1	3774342	3774841	500	*	TSS1_3774555	ATAC1_3774619	FALSE	FALSE	ENH1_3774592	0.840465	1.90485	4.82028	2.30092	2.08832	3.67815	S72
1	3774769	3775268	500	*	TSS1_3775019	NA	FALSE	FALSE	ENH1_3775018	0.281208	7.30503	9.96698	15.2193	15.8324	8.06623	L26
1	3775519	3776359	841	*	TSS1_3775917	ATAC1_3775940	FALSE	FALSE	ENH1_3775939	1.4013010000000001	0.476213	1.32946	0.530981	0.356233	5.311573	L57
1	3828260	3828759	500	*	TSS1_3828469	ATAC1_3828495	FALSE	FALSE	ENH1_3828510	0	20.010275999999998	19.938482	7.87408	7.152828	2.552953	S24
1	3887700	3888199	500	*	TSS1_3887935	ATAC1_3887949	FALSE	FALSE	ENH1_3887950	0	0	0.664163	1.7699340000000001	0.895125	0.407365	L6
1	3937187	3938293	1107	*	TSS1_3937601,TSS1_3937855	ATAC1_3937532	TRUE	TRUE	ENH1_3937740	0	4.287979999999999	15.28933	1.415947	5.8378499999999995	0.510195	S72
1	3947640	3948139	500	*	TSS1_3947904	ATAC1_3947809	FALSE	FALSE	ENH1_3947890	0	0	0	0.0884968	0.0590692	0.40736500000000003	L57
1	3998245	3998744	500	*	TSS1_3998495	NA	FALSE	FALSE	ENH1_3998494	0	0	0	0	0.417119	1.2250610000000002	L57
1	4030750	4031249	500	*	TSS1_4031000	NA	FALSE	FALSE	ENH1_4031000	0	0	0	0.176994	0.296255	0.101841	L26
1	4058890	4059622	733	*	TSS1_4058984	ATAC1_4059247	FALSE	FALSE	ENH1_4059256	0	0.634951	0.498689	3.008894	6.66573	0.713878	L26
1	4317343	4317842	500	*	TSS1_4317593	NA	FALSE	FALSE	ENH1_4317592	0	0	0	0	0.0599779	0.305524	L57
1	4488283	4488782	500	*	TSS1_4488460,TSS1_4488665	NA	TRUE	TRUE	ENH1_4488532	4.20548	74.172851	23.429308	21.500474	5.241709999999999	0.101841	S24
1	4504300	4504799	500	*	TSS1_4504550	NA	FALSE	FALSE	ENH1_4504550	0	0.158738	0.831904	0	0.1790252	0.204671	S72
1	4538419	4538918	500	*	TSS1_4538669	NA	FALSE	FALSE	ENH1_4538668	0	0	0	0.176994	4.5846779	3.57532	L26
1	4654575	4655074	500	*	TSS1_4654825	NA	FALSE	FALSE	ENH1_4654824	0	0	0.665297	0.26549	0.23900320000000003	1.022368	L57
1	4656727	4657611	885	*	TSS1_4656852	ATAC1_4656923	FALSE	FALSE	ENH1_4657169	0	0	0	0	0.0599779	0.306512	L57
1	4680578	4681378	801	*	TSS1_4681349	ATAC1_4681265	FALSE	FALSE	ENH1_4680978	0	0.317476	0.498689	0.0884968	0.3580502	0.919539	L57
1	4693953	4695254	1302	*	TSS1_4694922,TSS1_4695182	ATAC1_4694820	TRUE	TRUE	ENH1_4694604	2.52139	3.016017	2.160228	0	0.476189	10.11196	L57
1	4760171	4760703	533	*	TSS1_4760421	ATAC1_4760445	FALSE	FALSE	ENH1_4760437	0	0.476213	0.664163	0.707974	1.00963	1.93993	L57
1	4894453	4895169	717	*	TSS1_4894996	ATAC1_4894733	FALSE	FALSE	ENH1_4894811	0	0.634951	0	0	0.179934	0.919539	L57
1	4936369	4936868	500	*	TSS1_4936619	NA	FALSE	FALSE	ENH1_4936618	0	0	0.166608	0	3.9912599999999996	0.305524	L26
1	4937479	4937978	500	*	TSS1_4937729	NA	FALSE	FALSE	ENH1_4937728	0	0	0	0.884968	8.74769	6.23111	L26
1	4938201	4938700	500	*	TSS1_4938663	ATAC1_4938378	FALSE	FALSE	ENH1_4938450	0	0	0	0.353987	1.9710892	0.510196	L26
1	5066648	5067271	624	*	TSS1_5067197,TSS1_5067260	ATAC1_5066818	TRUE	TRUE	ENH1_5066960	17.37649	19.05675	19.11001	1.415949	0.952377	0.305524	S72
1	5089411	5089910	500	*	TSS1_5089622	ATAC1_5089646	FALSE	FALSE	ENH1_5089660	0	0.952427	0	0.707974	0.477097	1.226051	L57
1	5137645	5138249	605	*	TSS1_5137722,TSS1_5138177	NA	TRUE	TRUE	ENH1_5137947	0	0	1.828148	0.7964709999999999	4.103949	4.490904	L57
1	5145524	5146023	500	*	TSS1_5145719	ATAC1_5145767	FALSE	FALSE	ENH1_5145774	0	0.634951	0.498689	3.008888	2.379127	3.063153	L57
1	5268278	5268777	500	*	TSS1_5268414,TSS1_5268616	ATAC1_5268539	TRUE	TRUE	ENH1_5268528	17.3891	25.7258	32.56781	30.17315	31.016769999999998	14.80758	S72
1	5268282	5268781	500	*	TSS1_5268602,TSS1_5268616	ATAC1_5268539	TRUE	TRUE	ENH1_5268532	17.3891	25.7258	32.56781	30.17315	31.016769999999998	14.80758	S72
1	5359487	5360849	1363	*	TSS1_5360046,TSS1_5360215	ATAC1_5360317	FALSE	FALSE	ENH1_5360168	0	0.7936890000000001	1.163986	3.00889	0.834239	0	L6
1	5385916	5386869	954	*	TSS1_5386044	ATAC1_5386356	FALSE	FALSE	ENH1_5386392	1.121673	3.333499	4.82142	3.18589	5.12448	1.122233	L26
1	5451834	5452651	818	*	TSS1_5452398	ATAC1_5451965	FALSE	FALSE	ENH1_5452242	171.484885	129.127	470.85	538.897	355.8888867	29.8237	L6
1	5608052	5608551	500	*	TSS1_5608302	NA	FALSE	FALSE	ENH1_5608302	0	0	0	0.353987	1.84387	0.101841	L26
1	5836417	5836916	500	*	TSS1_5836667	NA	FALSE	FALSE	ENH1_5836666	0.279628	2.54084	0.166608	0.796471	0.239912	0.613026	S24
1	5895549	5896048	500	*	TSS1_5895717,TSS1_5895897	ATAC1_5895770	TRUE	TRUE	ENH1_5895799	0	0.793689	1.4960680000000002	9.37959	17.39451	12.05288	L26
1	6014884	6015383	500	*	TSS1_6015134	NA	FALSE	FALSE	ENH1_6015134	0	0	0.332082	0.176994	0.657031	1.122232	L57
1	6082164	6082663	500	*	TSS1_6082287,TSS1_6082569	NA	FALSE	TRUE	ENH1_6082414	0.279628	0	0	0	0.3580497	1.020391	L57
1	6174344	6174898	555	*	TSS1_6174506	ATAC1_6174560	FALSE	FALSE	ENH1_6174621	0.559257	0.793689	0.664163	1.06196	1.84387	0.306513	L26
1	6334272	6334957	686	*	TSS1_6334762	ATAC1_6334422	FALSE	FALSE	ENH1_6334614	0	0	0	0	1.074151	2.144603	L57
1	6452629	6453128	500	*	TSS1_6452887	ATAC1_6452976	FALSE	FALSE	ENH1_6452879	0	0	0	0	0	1.32493	L57
1	6644740	6645239	500	*	TSS1_6644854,TSS1_6644917	NA	TRUE	TRUE	ENH1_6644990	3.0901270000000003	6.82882	10.63455	12.034487	1.488543	0.612036	L6
1	6712118	6712853	736	*	TSS1_6712513,TSS1_6712648	ATAC1_6712371	TRUE	TRUE	ENH1_6712486	0	0.158738	0.332082	0.2654908	1.911115	11.12839	L57
1	6720210	6720781	572	*	TSS1_6720560	ATAC1_6720608	FALSE	FALSE	ENH1_6720496	0	0	0	0.353987	1.12958	0.305524	L26
1	6762879	6763443	565	*	TSS1_6762884,TSS1_6762944	ATAC1_6763252	TRUE	TRUE	ENH1_6763161	0.842044	2.5408370000000002	27.913	6.37177	16.74107	2.041774	S72
1	6865551	6866050	500	*	TSS1_6865584,TSS1_6865973	NA	FALSE	TRUE	ENH1_6865801	0	0	0	0.0884968	0.536166	0.305524	L26
1	6910050	6910549	500	*	TSS1_6910300	NA	FALSE	FALSE	ENH1_6910300	0	0	0	0	0	1.02039	L57
1	6958089	6958746	658	*	TSS1_6958483,TSS1_6958681	ATAC1_6958550	TRUE	TRUE	ENH1_6958418	487.22634999999997	202.98785	121.45237	51.58399	11.435765	0.91855	DS
1	7151560	7152059	500	*	TSS1_7151810	NA	FALSE	FALSE	ENH1_7151810	0	0	0	0.0884968	0.712465	0.81572	L57
1	7270115	7270936	822	*	TSS1_7270142	ATAC1_7270696	FALSE	FALSE	ENH1_7270526	0.559257	1.90485	11.1298	2.47791	8.703167	6.637483	S72
1	7271089	7271588	500	*	TSS1_7271339	NA	FALSE	FALSE	ENH1_7271338	0	0	0.332082	0	0.3571417	0.816708	L57
1	7311788	7312748	961	*	TSS1_7312264	ATAC1_7312332	FALSE	FALSE	ENH1_7312268	3.646225	24.29928	8.80754	8.229134	5.9523530000000004	1.63342	S24
1	7323182	7323681	500	*	TSS1_7323359	ATAC1_7323465	FALSE	FALSE	ENH1_7323432	0	0.634951	0.166608	0.2654908	0.118138	0	S24
1	7334137	7334965	829	*	TSS1_7334638	ATAC1_7334412	FALSE	FALSE	ENH1_7334551	8.679535	10.47979	5.65106	7.87621	2.6971870000000004	0.101841	S24
1	7339384	7339883	500	*	TSS1_7339621,TSS1_7339751	ATAC1_7339536	FALSE	TRUE	ENH1_7339634	0.562416	1.58738	1.163986	3.98235	4.4183699999999995	1.4287459999999998	L26
1	7340264	7341275	1012	*	TSS1_7340874	ATAC1_7340660	FALSE	FALSE	ENH1_7340770	1.4013010000000001	4.286949	2.65892	2.035428	4.478349	0.612037	L26
1	7341461	7341960	500	*	TSS1_7341603,TSS1_7341886	ATAC1_7341622	FALSE	TRUE	ENH1_7341711	2.80418	11.115770000000001	8.6409299999999991	46.273120000000006	17.821649999999998	0.7138789999999999	L6
1	7368321	7369341	1021	*	TSS1_7369157	ATAC1_7368508	FALSE	FALSE	ENH1_7368831	0	0	0	1.1504590000000001	1.8456830000000002	0.816708	L26
1	7461276	7461775	500	*	TSS1_7461526	NA	FALSE	FALSE	ENH1_7461526	0	0	0	0	1.07779	0.714867	L26
1	7481609	7482108	500	*	TSS1_7481741,TSS1_7481980	NA	TRUE	TRUE	ENH1_7481859	0	0.634951	0.498689	0.176994	2.5681510000000003	11.03149	L57
1	7514876	7515375	500	*	TSS1_7514999	ATAC1_7515120	FALSE	FALSE	ENH1_7515126	0	0.158738	0.498689	3.53987	1.24772	0.305524	L6
1	7518384	7518937	554	*	TSS1_7518657	ATAC1_7518519	FALSE	FALSE	ENH1_7518660	5.04121	3.6530299999999998	0.166608	3.71687	0.4225722	1.8380910000000001	DS
1	7639778	7640579	802	*	TSS1_7640506	ATAC1_7640177	FALSE	FALSE	ENH1_7640178	0.281208	0.317476	0.498689	1.150458	2.031074	0.203682	L26
1	7699911	7700537	627	*	TSS1_7700069	ATAC1_7700306	FALSE	FALSE	ENH1_7700224	0	0.476213	1.33059	0.0884968	0.835147	0.407365	S72
1	7733014	7733513	500	*	TSS1_7733264	NA	FALSE	FALSE	ENH1_7733264	0	0	0.498689	3.0088868	1.01054	0.408354	L6
1	7733735	7734234	500	*	TSS1_7733985	NA	FALSE	FALSE	ENH1_7733984	0	0	0	0.353987	0.953285	0.510196	L26
1	7762344	7762843	500	*	TSS1_7762594	NA	FALSE	FALSE	ENH1_7762594	0	0	0	0	0	0.204671	L57
1	7847025	7848014	990	*	TSS1_7847605	ATAC1_7847651	FALSE	FALSE	ENH1_7847520	0	0	0.664163	1.23896	1.011446	1.020391	L6
1	7869023	7869522	500	*	TSS1_7869131,TSS1_7869410	NA	TRUE	TRUE	ENH1_7869273	0	0	0	0.973465	4.89366	1.7342689999999998	L26
1	7872334	7873112	779	*	TSS1_7872548	ATAC1_7872675	FALSE	FALSE	ENH1_7872723	0	4.2890179999999996	1.82815	3.00889	4.525606	2.24545	L26
1	7887443	7887942	500	*	TSS1_7887679,TSS1_7887834	ATAC1_7887771	TRUE	TRUE	ENH1_7887693	0	0	0	0.973465	1.6766599999999998	6.83721	L57
1	7938479	7939020	542	*	TSS1_7938536,TSS1_7938797	ATAC1_7938778	TRUE	TRUE	ENH1_7938750	0	0	0.332082	0	0.2989812	0.305524	S72
1	7979295	7980547	1253	*	TSS1_7979543	ATAC1_7979474	FALSE	FALSE	ENH1_7979921	0.838885	1.58738	3.6562970000000004	3.0973879999999996	3.124304	1.3278910000000002	S72
1	7992209	7992708	500	*	TSS1_7992432	ATAC1_7992373	FALSE	FALSE	ENH1_7992458	6.450410000000001	22.0769	67.288997	3.98236	1.4267459999999998	10.1129	S72
1	8004486	8005590	1105	*	TSS1_8004632,TSS1_8005329	ATAC1_8005369	FALSE	FALSE	ENH1_8005038	1.12325	1.4286400000000001	0.8307709999999999	0.7079748	2.976176	4.186374	L57
1	8049748	8050247	500	*	TSS1_8049911,TSS1_8050151	ATAC1_8050740	TRUE	TRUE	ENH1_8049998	0	0	0	0.176994	0.23991220000000002	1.122232	L57
1	8140847	8141607	761	*	TSS1_8141084	ATAC1_8141198	FALSE	FALSE	ENH1_8141227	0.281208	0.634951	1.32946	0.884968	0.7742600000000001	0.40736500000000003	S72
1	8147567	8148101	535	*	TSS1_8147599,TSS1_8147866	ATAC1_8147887	TRUE	TRUE	ENH1_8147834	5.88167	2.85831	3.15874	5.30875	2.38185	1.429735	DS
1	8163899	8164398	500	*	TSS1_8164149	NA	FALSE	FALSE	ENH1_8164148	0	3.49429	0.166608	0.619478	1.00963	0.101841	S24
1	8177739	8178316	578	*	TSS1_8178135	ATAC1_8178147	FALSE	FALSE	ENH1_8178028	0	0	0	0.442484	0.4162107	0.40736500000000003	L6
1	8183955	8184454	500	*	TSS1_8184205	NA	FALSE	FALSE	ENH1_8184204	0	1.42967	2.49345	2.29985	5.486167	4.49486	L26
1	8267844	8268343	500	*	TSS1_8268094	NA	FALSE	FALSE	ENH1_8268094	0	4.44672	0.830771	0.707974	0.544345	0.203682	S24
1	8495507	8496135	629	*	TSS1_8495654,TSS1_8496128	ATAC1_8495678	FALSE	TRUE	ENH1_8495821	0	0	0.498689	1.68144	2.14285	1.122232	L26
1	8547787	8548286	500	*	TSS1_8548037	NA	FALSE	FALSE	ENH1_8548036	0.279628	0.634951	0.166608	0	0.241729	0.306513	S24
1	8559593	8560092	500	*	TSS1_8559826	ATAC1_8559824	FALSE	FALSE	ENH1_8559842	0	1.269902	0.830771	1.32745	0.7797132	3.5743329999999998	L57
1	8675670	8677059	1390	*	TSS1_8676448	ATAC1_8676135	FALSE	FALSE	ENH1_8676364	1.958978	4.128219	1.32946	1.238955	1.14231	1.22704	S24
1	8696576	8697075	500	*	TSS1_8696826	NA	FALSE	FALSE	ENH1_8696826	0	0	0	0	0.119047	0.713878	L57
1	8711471	8712222	752	*	TSS1_8712187	ATAC1_8712040	FALSE	FALSE	ENH1_8711846	0.562416	0.476213	0	0.884968	2.1383067000000002	0.91855	L26
1	8727610	8728109	500	*	TSS1_8727754	ATAC1_8727807	FALSE	FALSE	ENH1_8727860	0	0.476213	0	0.176994	2.744443	2.24743	L26
1	8861371	8862150	780	*	TSS1_8861620	ATAC1_8861569	FALSE	FALSE	ENH1_8861760	0.559257	0.634951	2.1613670000000003	1.5044440000000001	2.989814	6.74131	L57
1	8883119	8883681	563	*	TSS1_8883337	ATAC1_8883304	FALSE	FALSE	ENH1_8883400	0	0.634951	0	0.353987	0.478914	0	S24
1	8936910	8937620	711	*	TSS1_8937530	ATAC1_8937362	FALSE	FALSE	ENH1_8937265	0	0.634951	0	0	0.541619	0.306513	S24
1	8983580	8984079	500	*	TSS1_8983880	ATAC1_8983764	FALSE	FALSE	ENH1_8983830	0	0	0	0.0884968	1.0187162	3.164994	L57
1	9071512	9072011	500	*	TSS1_9071693,TSS1_9071850	NA	TRUE	TRUE	ENH1_9071762	9.81385	14.7709	6.31409	8.494620000000001	10.068119	8.17104	S24
1	9082157	9082656	500	*	TSS1_9082407	NA	FALSE	FALSE	ENH1_9082406	0	3.01808	3.15648	0.7079748	0.418937	0.306513	S72
1	9095100	9095631	532	*	TSS1_9095483	ATAC1_9095397	FALSE	FALSE	ENH1_9095366	0	7.145268	8.975277	2.565344	19.468245999999997	0.306513	L26
1	9256613	9258166	1554	*	TSS1_9257382,TSS1_9257441	ATAC1_9257072	TRUE	TRUE	ENH1_9257390	0	7.62147	27.583199999999998	6.45707	2.689015	1.122232	S72
1	9261197	9261696	500	*	TSS1_9261359,TSS1_9261417	ATAC1_9261454	FALSE	TRUE	ENH1_9261447	0	13.4999	40.541197000000004	5.22024	5.838760000000001	1.22605	S72
1	9262892	9263391	500	*	TSS1_9263175	ATAC1_9263144	FALSE	FALSE	ENH1_9263142	1.12009	0	0.166608	1.94693	1.73936	0.714867	L6
1	9326992	9327491	500	*	TSS1_9327216	ATAC1_9327207	FALSE	FALSE	ENH1_9327242	1.12325	0	0.8307709999999999	0.176994	0.656123	6.6365	L57
1	9390742	9391241	500	*	TSS1_9390992	NA	FALSE	FALSE	ENH1_9390992	0	0	0	0	0.29989	0.306513	L57
1	9407352	9408087	736	*	TSS1_9407938	ATAC1_9407743	FALSE	FALSE	ENH1_9407720	1.67935	27.158638	13.295689000000001	6.546634	8.538681	5.92262	S24
1	9411714	9412213	500	*	TSS1_9411972	ATAC1_9411895	FALSE	FALSE	ENH1_9411964	0.281208	0	0.166608	0.353988	0.9541949999999999	2.75664	L57
1	9478496	9478995	500	*	TSS1_9478625	ATAC1_9478757	FALSE	FALSE	ENH1_9478746	5.3319	6.35261	2.32684	12.4769968	13.810412	12.968413	L26
1	9708103	9708602	500	*	TSS1_9708353	NA	FALSE	FALSE	ENH1_9708352	0.838885	0.317476	0	0.264424	0.237185	0.101841	DS
1	9725203	9725702	500	*	TSS1_9725445	ATAC1_9725515	FALSE	FALSE	ENH1_9725453	0	0.317476	4.320462	2.73914	3.459635	0.101841	S72
1	9725694	9726193	500	*	TSS1_9725944	NA	FALSE	FALSE	ENH1_9725944	1.4013	0.9524269999999999	3.490829	0	0.5361667	0.91855	S72
1	9726017	9726516	500	*	TSS1_9726267	NA	FALSE	FALSE	ENH1_9726266	0.842045	13.1825	6.314087	2.917199	2.985262	6.025451	S24
1	9757975	9758474	500	*	TSS1_9758225	NA	FALSE	FALSE	ENH1_9758224	0	0	0.498689	0	0.1799342	0.204671	S72
1	9909160	9909659	500	*	TSS1_9909410	NA	FALSE	FALSE	ENH1_9909410	0.562416	0.47621399999999997	0.997379	0.526716	0.959647	0	S72
1	9949866	9950509	644	*	TSS1_9950038	ATAC1_9950064	FALSE	FALSE	ENH1_9950188	0.281208	0.634951	0.332082	0.7954049999999999	1.013264	0.408354	L26
1	9950632	9951131	500	*	TSS1_9950858	ATAC1_9950916	FALSE	FALSE	ENH1_9950882	0.279628	2.539808	4.320467	2.032232	1.251353	0.305524	S72
1	9990183	9990682	500	*	TSS1_9990433	NA	FALSE	FALSE	ENH1_9990432	0	0	0.166608	0.618411	2.2691689999999998	0.204671	L26
1	10001057	10002058	1002	*	TSS1_10001612	ATAC1_10001669	FALSE	FALSE	ENH1_10001558	0	0	0.333216	0.176994	0.296255	0.101841	S72
1	10064383	10064882	500	*	TSS1_10064618	ATAC1_10064629	FALSE	FALSE	ENH1_10064633	0.560836	1.11116	0.830771	1.9458606	0.713374	0.612037	L6
1	10166857	10167356	500	*	TSS1_10167107	NA	FALSE	FALSE	ENH1_10167106	0	0	0	0	0.302616	0.920527	L57
1	10172629	10173128	500	*	TSS1_10172954	ATAC1_10172951	FALSE	FALSE	ENH1_10172878	0	0	0	0	0.831512	4.48893	L57
1	10188812	10189379	568	*	TSS1_10189151	ATAC1_10189225	FALSE	FALSE	ENH1_10189096	0	0	0	0	0.179934	0	L26
1	10203904	10204403	500	*	TSS1_10204154	NA	FALSE	FALSE	ENH1_10204154	0	0	0	0	0	0.408354	L57
1	10275461	10276034	574	*	TSS1_10275727,TSS1_10275920	ATAC1_10275775	FALSE	TRUE	ENH1_10275748	8.98286	10.642651	5.65219	6.1937106	3.754981	4.286237	S24
